,writer,book,birth,min_bookDate
0,http://dbpedia.org/resource/Alan_E._Nourse,http://dbpedia.org/resource/The_Bladerunner,1928,1974
1,http://dbpedia.org/resource/Jon_Scieszka,http://dbpedia.org/resource/Guys_Write_for_Guys_Read;http://dbpedia.org/resource/Math_Curse;http://dbpedia.org/resource/Science_Verse;http://dbpedia.org/resource/Squids_Will_Be_Squids;http://dbpedia.org/resource/The_Stinky_Cheese_Man_and_Other_Fairly_Stupid_Tales;http://dbpedia.org/resource/The_True_Story_of_the_Three_Little_Pigs;http://dbpedia.org/resource/Baloney_(Henry_P.);http://dbpedia.org/resource/Seen_Art%3F,1954,1989
2,http://dbpedia.org/resource/Alex_Flinn,http://dbpedia.org/resource/Breaking_Point_(novel),1966,2002
3,http://dbpedia.org/resource/Alexander_McCall_Smith,http://dbpedia.org/resource/Morality_for_Beautiful_Girls;http://dbpedia.org/resource/Tears_of_the_Giraffe;http://dbpedia.org/resource/The_Good_Husband_of_Zebra_Drive;http://dbpedia.org/resource/The_Kalahari_Typing_School_for_Men;http://dbpedia.org/resource/The_Miracle_at_Speedy_Motors;http://dbpedia.org/resource/The_No._1_Ladies'_Detective_Agency_(novel),1948,1998
4,http://dbpedia.org/resource/Alicia_Ostriker,http://dbpedia.org/resource/The_Mother/Child_Papers,1937,1980
5,http://dbpedia.org/resource/Chris_Bohjalian,http://dbpedia.org/resource/Midwives_(novel),1962,1997
6,http://dbpedia.org/resource/Dan_Brown,http://dbpedia.org/resource/Deception_Point;http://dbpedia.org/resource/The_Da_Vinci_Code,1964,2001
7,http://dbpedia.org/resource/David_Foster_Wallace,http://dbpedia.org/resource/Girl_with_Curious_Hair,1962,1989
8,http://dbpedia.org/resource/Harlan_Coben,http://dbpedia.org/resource/Long_Lost;http://dbpedia.org/resource/Back_Spin_(novel);http://dbpedia.org/resource/Fade_Away_(Coben_novel);http://dbpedia.org/resource/One_False_Move_(Coben_novel),1962,1997
9,http://dbpedia.org/resource/Scott_Turow,http://dbpedia.org/resource/One_L;http://dbpedia.org/resource/Personal_Injuries;http://dbpedia.org/resource/Pleading_Guilty;http://dbpedia.org/resource/Reversible_Errors;http://dbpedia.org/resource/The_Burden_of_Proof;http://dbpedia.org/resource/The_Laws_of_Our_Fathers;http://dbpedia.org/resource/Ultimate_Punishment;http://dbpedia.org/resource/Limitations_(novel);http://dbpedia.org/resource/Ordinary_Heroes_(novel);http://dbpedia.org/resource/Presumed_Innocent_(novel),1949,1977
10,http://dbpedia.org/resource/Amitav_Ghosh,http://dbpedia.org/resource/The_Calcutta_Chromosome;http://dbpedia.org/resource/The_Hungry_Tide,1956,1995
11,http://dbpedia.org/resource/Andy_Lane,http://dbpedia.org/resource/All-Consuming_Fire;http://dbpedia.org/resource/The_Banquo_Legacy;http://dbpedia.org/resource/The_Empire_of_Glass,1963,1994
12,http://dbpedia.org/resource/Anita_Desai,"http://dbpedia.org/resource/Fasting,_Feasting",1937,1999
13,http://dbpedia.org/resource/Anne_Fine,http://dbpedia.org/resource/Madame_Doubtfire,1947,1987
14,http://dbpedia.org/resource/Anne_Tyler,http://dbpedia.org/resource/A_Patchwork_Planet;http://dbpedia.org/resource/Breathing_Lessons;http://dbpedia.org/resource/If_Morning_Ever_Comes;http://dbpedia.org/resource/Ladder_of_Years;http://dbpedia.org/resource/Saint_Maybe;http://dbpedia.org/resource/The_Amateur_Marriage;http://dbpedia.org/resource/The_Clock_Winder;http://dbpedia.org/resource/The_Tin_Can_Tree;http://dbpedia.org/resource/A_Slipping-Down_Life_(novel);http://dbpedia.org/resource/Celestial_Navigation_(novel);http://dbpedia.org/resource/Earthly_Possessions_(novel);http://dbpedia.org/resource/Morgan's_Passing;http://dbpedia.org/resource/Noah's_Compass;http://dbpedia.org/resource/The_Beginner's_Goodbye,1941,1964
15,http://dbpedia.org/resource/Anthony_Horowitz,http://dbpedia.org/resource/Stormbreaker;http://dbpedia.org/resource/Oblivion_(Power_of_Five);http://dbpedia.org/resource/The_Falcon's_Malteser,1955,1986
16,http://dbpedia.org/resource/Rod_Serling,"http://dbpedia.org/resource/Rod_Serling's_Devils_and_Demons;http://dbpedia.org/resource/Rod_Serling's_Triple_W:_Witches,_Warlocks_and_Werewolves",1924,1963
17,http://dbpedia.org/resource/Anton_Myrer,http://dbpedia.org/resource/Once_An_Eagle,1922,1968
