,birth,book,writer,min_bookDate
0,1928,http://dbpedia.org/resource/The_Bladerunner,http://dbpedia.org/resource/Alan_E._Nourse,1974
1,1954,http://dbpedia.org/resource/Guys_Write_for_Guys_Read;http://dbpedia.org/resource/Math_Curse;http://dbpedia.org/resource/Science_Verse;http://dbpedia.org/resource/Squids_Will_Be_Squids;http://dbpedia.org/resource/The_Stinky_Cheese_Man_and_Other_Fairly_Stupid_Tales;http://dbpedia.org/resource/The_True_Story_of_the_Three_Little_Pigs;http://dbpedia.org/resource/Baloney_(Henry_P.);http://dbpedia.org/resource/Seen_Art%3F,http://dbpedia.org/resource/Jon_Scieszka,1989
2,1966,http://dbpedia.org/resource/Breaking_Point_(novel),http://dbpedia.org/resource/Alex_Flinn,2002
3,1948,http://dbpedia.org/resource/Morality_for_Beautiful_Girls;http://dbpedia.org/resource/Tears_of_the_Giraffe;http://dbpedia.org/resource/The_Good_Husband_of_Zebra_Drive;http://dbpedia.org/resource/The_Kalahari_Typing_School_for_Men;http://dbpedia.org/resource/The_Miracle_at_Speedy_Motors;http://dbpedia.org/resource/The_No._1_Ladies'_Detective_Agency_(novel),http://dbpedia.org/resource/Alexander_McCall_Smith,1998
4,1937,http://dbpedia.org/resource/The_Mother/Child_Papers,http://dbpedia.org/resource/Alicia_Ostriker,1980
5,1962,http://dbpedia.org/resource/Midwives_(novel),http://dbpedia.org/resource/Chris_Bohjalian,1997
6,1964,http://dbpedia.org/resource/Deception_Point;http://dbpedia.org/resource/The_Da_Vinci_Code,http://dbpedia.org/resource/Dan_Brown,2001
7,1962,http://dbpedia.org/resource/Girl_with_Curious_Hair,http://dbpedia.org/resource/David_Foster_Wallace,1989
8,1962,http://dbpedia.org/resource/Long_Lost;http://dbpedia.org/resource/Back_Spin_(novel);http://dbpedia.org/resource/Fade_Away_(Coben_novel);http://dbpedia.org/resource/One_False_Move_(Coben_novel),http://dbpedia.org/resource/Harlan_Coben,1997
9,1949,http://dbpedia.org/resource/One_L;http://dbpedia.org/resource/Personal_Injuries;http://dbpedia.org/resource/Pleading_Guilty;http://dbpedia.org/resource/Reversible_Errors;http://dbpedia.org/resource/The_Burden_of_Proof;http://dbpedia.org/resource/The_Laws_of_Our_Fathers;http://dbpedia.org/resource/Ultimate_Punishment;http://dbpedia.org/resource/Limitations_(novel);http://dbpedia.org/resource/Ordinary_Heroes_(novel);http://dbpedia.org/resource/Presumed_Innocent_(novel),http://dbpedia.org/resource/Scott_Turow,1977
10,1956,http://dbpedia.org/resource/The_Calcutta_Chromosome;http://dbpedia.org/resource/The_Hungry_Tide,http://dbpedia.org/resource/Amitav_Ghosh,1995
